證券代號,證券名稱,產業內容
2301,光寶科,"銷售、進出口業務, 機殼, 電源供應器, 伺服器, 其他電腦及週邊設備, 安全監控系統, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 其他電子產品及電子服務產業, 車燈, 其他, 電力設備, 冷卻設備, 雲端應用服務, 系統整合, 顧問諮詢, 設備安裝服務, IaaS, PaaS, SaaS, 環境感知, 深度感測, 視覺, 手勢/動作, 封裝/模組, 燈具/應用, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 配電管理設施, 醫療耗材, 生物檢測"
2302,麗正,其他IC/二極體製造
2303,聯電,晶圓製造
2305,全友,印表機、傳真機、掃瞄器、多功能事務機、投影機
2308,台達電,"休閒車業, 生產製程及檢測設備, IC模組, IC通路, 電源供應器, 散熱片、風扇馬達、散熱模組, 筆記型電腦, 桌上型電腦, 精簡型電腦, 安全監控系統, 其他零組件, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 光通訊設備(如光纖電纜、光傳輸設備), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 電阻器, 電容器, 電感器, 傳動元件, 電控元件, 專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等), 輸送機械及零配件, 應用/系統軟體設計開發, 機電工程, 特殊照明業, 其他, 系統整合, 顧問諮詢, 領域解決方案, 智慧設備, 機器學習, 電腦視覺, 運算設備, 電力設備, 冷卻設備, 設備管理軟體, 設備安裝服務, 運算元件與設備, LED驅動IC, 消費性IC, 微控制器IC, 電源管理IC, 天線/射頻基頻, 伺服器, SaaS, 電池模組, 燈具/應用, 鋰電池材料, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 電動汽車、電動機車、電動自行車, 太陽能發電設備/系統及系統工程, 太陽能電廠, 監控系統, 電力系統, 電池芯, 高/低壓輸電設施, 配電管理設施, 能源管理服務, 系統整合服務, 塑化材料, 生物檢測, 醫療器材代理"
2312,金寶,"主機板, 硬碟機, 印表機、傳真機、掃瞄器、多功能事務機、投影機, 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 其他電子產品及電子服務產業"
2313,華通,"硬板、軟板、IC載板製造, 基板組裝加工及相關製造"
2314,台揚,"無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 天線/射頻基頻"
2316,楠梓電,"硬板、軟板、IC載板製造, 基板組裝加工及相關製造"
2317,鴻海,"主機板, 機殼, 筆記型電腦, 桌上型電腦, 伺服器, 其他電腦及週邊設備, 光學鏡片、鏡頭, 金屬、塑膠模具, 印表機、傳真機、掃瞄器、多功能事務機、投影機, 安全監控系統, 網路設備(如數據機、網路卡、閘道器、路由器、網路電話), 無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒), 連接器設計、組裝及製造, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
